run,learning_rate,buffer_size,exploration_fraction,exploration_final_eps,gamma,batch_size,train_freq,target_update_interval,learning_starts,mean_reward,std_reward,convergence_step,train_time_s
1,0.001,50000,0.2,0.05,0.99,64,4,1000,1000,266.11,3.09,7115,16.6
2,0.0005,100000,0.3,0.02,0.99,128,4,500,2000,285.55,1.92,11524,18.1
3,0.0001,50000,0.1,0.05,0.95,32,8,2000,1000,274.05,7.01,6083,10.9
4,0.0005,30000,0.15,0.1,0.98,64,4,750,500,287.19,1.48,6488,17.3
5,0.001,100000,0.25,0.01,0.97,256,2,1000,3000,286.36,2.33,11524,42.8
6,0.0003,75000,0.2,0.05,0.99,64,4,500,1000,263.52,5.83,7924,17.0
7,0.0007,50000,0.35,0.08,0.96,128,1,1500,2000,262.14,21.19,13454,59.4
8,0.0002,200000,0.15,0.03,0.995,64,4,2000,5000,274.01,5.77,12372,15.8
9,0.0008,30000,0.4,0.05,0.93,32,8,500,1000,280.9,4.27,15037,10.7
10,0.0005,50000,0.2,0.05,0.99,64,4,1000,1000,253.81,1.37,8022,17.2
