run,learning_rate,gamma,hidden_size,ent_coef,grad_clip,baseline_alpha,mean_reward,std_reward,convergence_step,train_time_s
1,0.001,0.99,128,0.01,0.5,0.01,-28.65,4.88,300,3.7
2,0.0005,0.99,256,0.005,1.0,0.02,-24.19,42.23,300,6.5
3,0.0001,0.95,128,0.02,0.5,0.05,-33.45,179.43,300,4.3
4,0.003,0.98,64,0.0,0.3,0.01,-32.3,5.63,300,3.3
5,0.0007,0.97,128,0.015,0.8,0.03,26.4,60.39,300,4.1
6,0.001,0.99,256,0.03,0.5,0.005,161.39,0.54,300,6.6
7,0.0002,0.96,128,0.01,2.0,0.1,-52.66,5.89,300,4.0
8,0.0005,0.995,64,0.005,0.5,0.02,-30.37,1.8,300,3.8
9,0.001,0.93,256,0.02,0.3,0.01,-113.04,104.14,35,6.3
10,0.0003,0.99,128,0.01,1.0,0.05,-30.86,2.13,300,4.0
